Category,Data.Carbohydrate,Data.Cholesterol,Data.Fiber,Data.Protein,Data.Fat.Monosaturated Fat,Data.Fat.Polysaturated Fat,Data.Fat.Saturated Fat,Data.Fat.Total Lipid,Data.Major Minerals.Iron,Data.Major Minerals.Magnesium,Data.Major Minerals.Phosphorus,Data.Major Minerals.Potassium,Data.Major Minerals.Sodium,Data.Major Minerals.Zinc,Data.Vitamins.Vitamin A - RAE,Data.Vitamins.Vitamin B12,Data.Vitamins.Vitamin B6,Data.Vitamins.Vitamin C,Data.Vitamins.Vitamin E,Data.Vitamins.Vitamin K,cluster
100 GRAND Bar,70.97,12.0,1.0,2.5,6.039,1.388,11.9,19.33,0.34,25.0,86.0,163.0,203.0,0.99,38.0,0.29,0.016,0.7,0.42,6.2,1
3 MUSKETEERS Bar,77.77,5.0,1.5,2.6,2.373,0.316,8.646,12.75,0.67,29.0,69.0,133.0,194.0,0.55,20.0,0.16,0.015,0.2,0.98,2.9,1
3 Musketeers Truffle Crisp Bar,63.15,18.0,0.0,6.41,5.536,1.091,19.23,28.85,1.88,50.0,165.0,296.0,63.0,1.83,46.0,0.6,0.028,0.0,0.6,5.8,3
Abalone,11.586666666666666,127.0,0.1999999999999999,24.22333333333333,2.0863333333333336,2.044666666666666,0.94,5.826666666666667,4.406666666666666,67.66666666666667,240.66666666666663,336.6666666666667,737.6666666666666,1.2233333333333334,7.666666666666667,0.9466666666666668,0.1966666666666666,2.466666666666667,5.956666666666667,36.5,13
Adobo,8.52,73.5,0.3,17.285,3.5380000000000003,0.9975,2.5295,7.800000000000001,1.165,19.5,155.0,208.0,516.0,2.465,4.0,0.435,0.2329999999999999,0.1,0.205,0.0,13
Agave liquid sweetener,76.37,0.0,0.2,0.09,0.0,0.0,0.0,0.45,0.09,1.0,1.0,4.0,4.0,0.01,8.0,0.0,0.234,17.0,0.98,22.5,6
Air filled fritter or fried puff,50.21,126.0,0.6,6.46,10.698,7.347,4.652,23.75,1.61,10.0,91.0,73.0,587.0,0.59,211.0,0.28,0.065,0.0,2.65,23.6,4
Alcoholic malt beverage,6.4,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.03,6.666666666666667,15.333333333333334,37.66666666666666,4.666666666666667,0.01,0.0,0.0133333333333333,0.0436666666666666,1.7666666666666666,0.0133333333333333,0.0,5
Alexander,18.94,11.0,0.0,1.05,1.082,0.218,2.313,3.83,0.05,4.0,34.0,55.0,23.0,0.15,31.0,0.06,0.016,0.3,0.08,0.4,14
Alfalfa sprouts,2.1,0.0,1.9,3.99,0.056,0.409,0.069,0.69,0.96,27.0,70.0,79.0,6.0,0.92,8.0,0.0,0.034,8.2,0.02,30.5,3
Alfredo sauce,1.48,46.0,0.0,2.37,3.8,0.64,9.518,15.12,0.05,5.0,50.0,39.0,558.0,0.3,159.0,0.12,0.015,0.2,0.38,1.3,4
Alfredo sauce with added vegetables,2.32,35.0,0.3,2.28,2.908,0.524,7.295,11.64,0.16,7.0,51.0,97.0,428.0,0.32,131.0,0.1,0.053,10.1,0.4,2.0,4
Alfredo sauce with meat,1.2,54.0,0.0,6.72,4.493,0.613,8.943,15.44,0.51,7.0,77.0,88.0,528.0,1.41,130.0,0.6,0.08,0.1,0.33,1.4,4
Alfredo sauce with meat and added vegetables,1.88,45.0,0.3,6.64,3.768,0.519,7.137,12.61,0.59,9.0,78.0,135.0,422.0,1.42,107.0,0.58,0.111,8.2,0.35,1.9,13
Alfredo sauce with poultry,1.2,54.0,0.0,7.1,3.544,0.837,8.062,13.59,0.23,9.0,87.0,85.0,522.0,0.61,132.0,0.25,0.1,0.1,0.35,1.1,4
Alfredo sauce with poultry and added vegetables,1.88,45.0,0.3,7.03,2.82,0.743,6.256,10.76,0.32,11.0,88.0,133.0,416.0,0.63,109.0,0.23,0.131,8.2,0.37,1.6,13
Alfredo sauce with seafood,1.76,66.0,0.0,6.11,3.116,0.614,7.78,12.56,0.49,10.0,90.0,98.0,545.0,0.5,143.0,1.92,0.015,0.5,0.52,1.1,4
Alfredo sauce with seafood and added vegetables,2.43,57.0,0.3,6.04,2.391,0.52,5.974,9.74,0.58,12.0,91.0,145.0,440.0,0.52,120.0,1.9,0.046,8.6,0.54,1.6,13
Almond butter,18.82,0.0,10.3,20.96,32.445,13.613,6.55,55.5,3.49,279.0,508.0,748.0,171.0,3.29,0.0,0.0,0.103,0.0,24.21,0.0,3
Almond chicken,4.69,57.0,1.2,16.07,6.401,3.938,1.969,13.3,0.87,38.0,172.0,260.0,335.0,1.16,19.0,0.21,0.181,10.9,2.8,14.6,1
Almond milk,4.0925,0.0,0.25,0.4175,0.57975,0.23375,0.08975,0.96,0.2925,6.5,10.0,67.25,70.0,0.07,87.25,0.0,0.0,0.0,2.73,0.0,9
Almond oil,0.0,0.0,0.0,0.0,69.9,17.4,8.2,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.2,7.0,8
Almond paste,47.81,0.0,4.8,9.0,18.012,5.821,2.629,27.74,1.6,130.0,258.0,314.0,9.0,1.48,0.0,0.0,0.036,0.1,13.54,0.0,3
Almonds,30.538,0.8,9.06,17.683,27.4286,11.1692,5.453,46.127,3.132,228.8,395.2,604.4,155.9,2.764,1.9,0.0579999999999999,0.1148,0.03,20.286,3.26,3
