nutrient_total_fat,nutrient_total_carb,nutrient_protein,nutrient_sat_fat,nutrient_cholesterol,nutrient_sodium,nutrient_fiber,nutrient_calcium,Calories,Score,nutrient_vitamin_a,Category,cluster
19.33,70.97,2.5,11.9,12.0,203.0,1.0,76.0,458.23,6.627000000000001,38.0,100 GRAND Bar,7
12.75,77.77,2.6,8.646,5.0,194.0,1.5,54.0,427.1,6.517,20.0,3 MUSKETEERS Bar,7
28.85,63.15,6.41,19.23,18.0,63.0,0.0,150.0,457.1,6.752000000000001,46.0,3 Musketeers Truffle Crisp Bar,2
5.826666666666667,11.586666666666666,24.22333333333333,0.94,127.0,737.6666666666666,0.1999999999999999,52.66666666666666,160.97,4.786999999999999,7.666666666666667,Abalone,1
7.800000000000001,8.52,17.285,2.5295,73.5,516.0,0.3,16.5,160.21,5.227,4.0,Adobo,6
0.45,76.37,0.09,0.0,0.0,4.0,0.2,1.0,273.9,5.587999999999999,8.0,Agave liquid sweetener,2
23.75,50.21,6.46,4.652,126.0,587.0,0.6,25.0,425.2,7.25,211.0,Air filled fritter or fried puff,6
0.0,6.4,0.3,0.0,0.0,4.666666666666667,0.0,5.333333333333333,29.0,5.134,0.0,Alcoholic malt beverage,2
3.83,18.94,1.05,2.313,11.0,23.0,0.0,35.0,126.9,5.2425,31.0,Alexander,2
0.69,2.1,3.99,0.069,0.0,6.0,1.9,32.0,74.75,3.9535,8.0,Alfalfa sprouts,2
15.12,1.48,2.37,9.518,46.0,558.0,0.0,67.0,203.41,6.829,159.0,Alfredo sauce,6
11.64,2.32,2.28,7.295,35.0,428.0,0.3,54.0,176.27,7.399,131.0,Alfredo sauce with added vegetables,6
15.44,1.2,6.72,8.943,54.0,528.0,0.0,59.0,213.6,6.665,130.0,Alfredo sauce with meat,6
12.61,1.88,6.64,7.137,45.0,422.0,0.3,49.0,189.53,6.96,107.0,Alfredo sauce with meat and added vegetables,6
13.59,1.2,7.1,8.062,54.0,522.0,0.0,59.0,206.55,6.765,132.0,Alfredo sauce with poultry,6
10.76,1.88,7.03,6.256,45.0,416.0,0.3,48.0,165.31,7.41,109.0,Alfredo sauce with poultry and added vegetables,6
12.56,1.76,6.11,7.78,66.0,545.0,0.0,74.0,200.28,6.82,143.0,Alfredo sauce with seafood,6
9.74,2.43,6.04,5.974,57.0,440.0,0.3,64.0,150.49,7.405,120.0,Alfredo sauce with seafood and added vegetables,6
55.5,18.82,20.96,6.55,0.0,171.0,10.3,347.0,554.9,5.096,0.0,Almond butter,9
13.3,4.69,16.07,1.969,57.0,335.0,1.2,36.0,197.8,5.5925,19.0,Almond chicken,6
0.96,4.0925,0.4175,0.08975,0.0,70.0,0.25,179.0,49.24,5.212000000000001,87.25,Almond milk,0
100.0,0.0,0.0,8.2,0.0,0.0,0.0,0.0,503.24,5.469833333333335,0.0,Almond oil,2
27.74,47.81,9.0,2.629,0.0,9.0,4.8,172.0,433.4,5.313999999999998,0.0,Almond paste,2
46.127,30.538,17.683,5.453,0.8,155.9,9.06,233.1,506.88,5.7493333333333325,1.9,Almonds,9
0.0,3.75,0.0,0.0,0.0,8.0,0.0,8.0,19.8,5.229333333333333,0.0,Aloe vera juice drink,7
0.96,16.16,0.9,0.748,0.0,1.0,2.3,24.0,88.2,4.267666666666667,7.0,Ambrosia,2
9.71,0.0,28.89,2.203,85.0,3668.0,0.0,232.0,178.56,4.944999999999999,12.0,Anchovy,1
92.18,0.0,2.23,35.58,93.0,604.0,0.0,5.0,548.2,7.266666666666667,0.0,Animal fat or drippings,7
9.7,74.2,10.1,2.525,8.0,227.0,2.5,20.0,329.85,5.673999999999999,16.0,Anisette toast,7
10.69,3.88,11.62,4.634,39.0,869.0,1.1,178.0,216.8,6.14,288.0,Antipasto with ham,6
1.42,33.0025,0.7125,0.633,2.5,38.5,3.85,18.25,150.68,5.364000000000001,8.75,Apple,2
0.13,11.3,0.1,0.022,0.0,4.0,0.2,8.0,44.6,4.46,0.0,Apple cider,2
0.125,11.3975,0.07,0.02175,0.0,5.0,0.25,52.25,44.6,4.42,0.25,Apple juice,9
0.1,5.1,0.0,0.0,0.0,13.0,0.0,3.0,24.11,5.278978571428571,0.0,Apple juice beverage,7
0.1,26.1,0.1,0.0,0.0,47.0,1.0,4.0,108.4,5.268,2.0,Apple pie filling,7
13.92,12.15,1.48,1.906,5.0,86.0,2.1,16.0,194.66,5.389000000000001,6.0,Apple salad with dressing,7
1.6,19.5,0.8,1.034,6.0,20.0,0.5,6.0,102.5,5.028,3.0,Apple yogurt dessert,2
0.1,12.3,0.2,0.018,0.0,4.0,0.2,7.0,50.2,4.214,0.0,Apple-banana juice,2
